	totalTime	sequencedTime	analyzedTime	ondellTime	convertedTime	incloudTime	downloadedTime	jobsubmittedTime	jobcompletedTime	backtodellTime
200213_NB500911_1333_AHMCYMBGXC	0	0	0	0	0	0	0	0	0	0
200214_NB500908_1333_AHMFY3BGXC	23507	17620	4443	0	0	0	0	0	1000	444
200214_NB551141_0907_AHMGYKBGXC	25715	19994	4443	0	0	0	0	0	945	333
200214_NB500911_1334_AHMF2HBGXC	57330	18453	36212	0	0	0	0	0	2443	222
200215_NB500908_1334_AHM75TBGXC	27942	19334	5775	0	0	0	0	0	2443	390
200215_NB500911_1335_AHM7V7BGXC	30662	20389	8719	0	0	0	111	0	1166	277
200217_NB500908_1335_AHM723BGXC	27223	19557	5110	0	0	0	0	0	2167	389
200217_NB500911_1336_AHMC7JBGXC	30667	20835	7999	0	0	0	0	111	1499	223
200218_NB500908_1336_AHMGW7BGXC	25987	19768	5053	0	0	0	0	56	999	111
200218_NB500911_1337_AHMHHYBGXC	30486	20935	8273	0	0	0	0	111	1001	166
200218_NB551141_0910_AHMH7VBGXC	34818	21989	11663	0	0	0	0	56	944	166
200219_NB500908_1337_AHMFY2BGXC	26157	22771	1998	0	0	0	0	0	1055	333
200219_NB500911_1338_AHMJJYBGXC	30487	19717	9494	0	0	0	0	55	944	277
200219_NB551141_0911_AHMF2KBGXC	34652	20828	12492	0	0	0	0	55	887	390
200220_NB500908_1338_AHM7WJBGXC	25820	19822	4888	0	0	0	0	55	944	111
200220_NB500911_1339_AHMFM7BGXC	29986	20933	7609	0	0	0	111	0	1000	333
200220_NB551141_0912_AHMFL7BGXC	34262	21877	10885	0	0	0	0	0	1000	500
200221_NB551141_0913_AHMHCGBGXC	25653	20823	3664	0	0	0	0	0	943	223
200221_NB500911_1340_AHMGW5BGXC	30317	19711	9163	0	0	0	0	0	999	444
200222_NB500911_1341_AHMH3JBGXC	25543	19713	4498	0	0	0	0	0	1000	332
200222_NB551141_0914_AHMFM2BGXC	29487	20823	7442	0	0	0	56	0	999	167
200224_NB500908_1340_AHMCYTBGXC	28043	21379	3221	0	0	0	167	0	2777	499
200224_NB500911_1342_AHMF2CBGXC	32596	19602	9385	0	0	0	55	0	3221	333
200225_NB500908_1341_AHMFYGBGXC	73346	73346	0	0	0	0	0	0	0	0
200225_NB500911_1343_AHMG27BGXC	73346	73346	0	0	0	0	0	0	0	0
200225_NB551141_0916_AHMFLFBGXC	73346	73346	0	0	0	0	0	0	0	0
200226_NB500908_1342_AHMF22BGXC	25710	19717	4717	0	0	0	111	0	943	222
200226_NB500911_1344_AHMH3WBGXC	0	0	0	0	0	0	0	0	0	0
200226_NB551141_0917_AHMH3NBGXC	4553	0	3331	0	0	0	0	55	944	223
200227_NB551141_0918_AHMFL5BGXC	26383	21940	3221	0	0	0	0	0	944	278
200227_NB500908_1343_AHMFLKBGXC	30436	19719	9440	0	0	0	0	0	943	334
200227_NB500911_1345_AHMFM5BGXC	35879	20829	13772	0	0	0	0	0	1055	223
200228_NB500911_1346_AHMF27BGXC	25486	19712	4387	0	0	0	0	0	832	555
200228_NB551141_0919_AHMF23BGXC	30040	20544	7386	0	0	0	0	278	1554	278
200302_NB500908_1345_AHMJ7LBGXC	25880	19659	4888	0	0	0	0	0	1055	278
200302_NB500911_1347_AHMJCJBGXC	30044	20770	7942	0	0	0	0	0	1110	222
200303_NB500908_1346_AHMJ75BGXC	26087	19562	5130	0	0	0	0	0	1171	224
200303_NB551141_0921_AHMJ7KBGXC	29767	21960	6469	0	0	0	0	111	949	278
200303_NB500911_1348_AHMJCNBGXC	34117	20845	12045	0	0	0	0	56	1004	167
200304_NB500908_1347_AH3YK3BGXF	26099	19434	5388	0	0	0	0	0	1054	223
200304_NB500911_1349_AH3TNJBGXF	30873	20544	8664	0	0	0	0	111	1277	277
200304_NB551141_0922_AH3Y5WBGXF	35481	21933	11994	0	0	0	0	56	1110	388
200305_NB500911_1350_AH3TT2BGXF	25483	19765	4440	0	0	0	0	112	944	222
200305_NB551141_0923_AH3MMYBGXF	29648	20541	7830	0	0	0	0	55	1055	167
200306_NB500911_1351_AHMJCCBGXC	11880	6606	3664	0	0	0	167	0	1165	278
200306_NB500908_1348_AHMJ3HBGXC	15710	5495	8939	0	0	0	0	0	1055	221
200306_NB551141_0924_AHMHN5BGXC	19874	7438	11159	0	0	0	0	0	999	278
200307_NB500911_1352_AHMJ5VBGXC	20269	14271	4721	0	0	0	0	0	1000	277
180428_NB500908_0884_AHNLHJBGX5	0	0	0	0	0	0	0	0	0	0
180428_NB551141_0311_AHNJTHBGX5	0	0	0	0	0	0	0	0	0	0
180501_NB551141_0312_AHNL2YBGX5	0	0	0	0	0	0	0	0	0	0
180502_NB500908_0885_AHNK3TBGX5	0	0	0	0	0	0	0	0	0	0
180502_NB500911_0874_AHNHNNBGX5	0	0	0	0	0	0	0	0	0	0
180502_NB551141_0313_AHNJYNBGX5	0	0	0	0	0	0	0	0	0	0
180503_NB500908_0886_AHNHTTBGX5	0	0	0	0	0	0	0	0	0	0
180503_NB500911_0875_AHNHWVBGX5	0	0	0	0	0	0	0	0	0	0
180503_NB500911_0876_AHNJTMBGX5	0	0	0	0	0	0	0	0	0	0
180503_NB551141_0314_AHNHVGBGX5	0	0	0	0	0	0	0	0	0	0
180504_NB500908_0887_AHNHWLBGX5	0	0	0	0	0	0	0	0	0	0
200307_NB500908_1349_AHMJ5NBGXC	0	0	0	0	0	0	0	0	0	0
200309_NB500908_1351_AH3V2JBGXF	28206	19656	7218	0	0	0	0	56	1054	222
200309_NB500911_1353_AHMJ3MBGXC	25432	19713	4386	0	0	0	0	0	1056	277
200310_NB500908_1352_AH3V2VBGXF	25203	19707	4164	0	0	0	0	111	889	332
200310_NB551141_0927_AH3YJ2BGXF	29091	20651	7107	0	0	0	0	56	889	388
200311_NB500911_1355_AXXXXXXXXX	23828	19435	3334	0	0	0	0	278	502	279
200311_NB500908_1353_AH3TY3BGXF	25933	19603	4831	0	0	0	0	0	1055	444
200311_NB551141_0928_AHMJCHBGXC	30153	20714	8051	0	0	0	0	111	833	444
200312_NB500908_1354_AH3TNLBGXF	25496	19713	4449	0	0	0	0	56	1000	278
200312_NB551141_0929_AH3TMVBGXF	29659	20545	7782	0	0	0	0	55	999	278
200312_NB500908_1355_AH3YHYBGXF	25479	19706	4442	0	0	0	0	55	944	332
200312_NB551141_0930_AH3TYCBGXF	29643	19983	8327	0	0	0	0	56	943	334
191128_M05267_0358_000000000-CRLGY	18059	16392	0	0	0	0	0	0	1389	278
191129_M02559_0377_000000000-G4LK6	57775	56108	0	278	0	0	0	0	1111	278
191129_M05267_0359_000000000-G4PPJ	61663	59719	0	278	0	0	0	0	1388	278
191202_M02559_0378_000000000-D7JH6	49437	48325	0	0	0	0	0	0	834	278
191202_M05267_0360_000000000-D5T24	80551	79439	0	278	0	0	0	0	555	279
191203_M02559_0379_000000000-G4PBB	58323	56379	0	556	0	0	277	0	834	277
191204_M02559_0380_000000000-G4P58	58327	56938	0	0	0	0	0	0	1111	278
191204_M05267_0361_000000000-CTGBH	18331	16664	0	0	0	0	0	0	1389	278
191205_M02559_0381_000000000-G4PRG	59159	57215	0	278	0	0	0	0	1389	277
191205_M05267_0362_000000000-D5T2H	52769	51936	0	0	0	0	0	0	556	277
191206_M02559_0382_000000000-G4PBD	4172	0	0	278	0	0	556	0	3060	278
191209_M02559_0383_000000000-G4PRN	5278	0	0	277	0	0	0	0	4723	278
191210_M02559_0384_000000000-G4PFC	2779	0	0	278	0	0	556	0	1667	278
191211_M02559_0385_000000000-G4P5L	6725	0	0	1389	0	111	0	0	4948	277
191212_M02559_0386_000000000-G4P5T	8118	0	0	278	0	55	278	56	7341	110
191213_M02559_0387_000000000-G4P5B	2611	0	0	0	0	110	0	0	2279	222
191216_M02559_0388_000000000-G4P54	62272	55321	0	278	0	111	0	0	6451	111
191216_M05267_0370_000000000-D5J3H	51483	49203	0	278	0	111	0	0	1779	112
200120_M02559_0413_000000000-G4T2V	0	0	0	0	0	0	0	0	0	0
200120_M05267_0392_000000000-CRHMB	0	0	0	0	0	0	0	0	0	0
200121_M02559_0414_000000000-G4T38	0	0	0	0	0	0	0	0	0	0
200121_M05267_0393_000000000-D7NFM	0	0	0	0	0	0	0	0	0	0
200122_M02559_0415_000000000-G4V4V	0	0	0	0	0	0	0	0	0	0
200122_M05267_0394_000000000-G52RL	0	0	0	0	0	0	0	0	0	0
200123_M02559_0416_000000000-CRJ2N	0	0	0	0	0	0	0	0	0	0
200123_M05267_0395_000000000-CRGV2	0	0	0	0	0	0	0	0	0	0
200124_M02559_0417_000000000-G4V49	0	0	0	0	0	0	0	0	0	0
200129_M02559_0418_000000000-G4VHJ	29113	27668	0	278	0	55	0	0	1056	56
200130_M02559_0419_000000000-G4V44	57268	55268	0	278	0	55	0	0	1556	111
200130_M05267_0396_000000000-D7KMR	81659	79437	0	555	0	111	0	0	1389	167
200131_M05267_0397_000000000-CVBH6	19448	16948	0	277	0	56	334	0	1500	333
200131_M02559_0420_000000000-G4V4G	57509	55287	0	278	0	55	222	0	1556	111
200201_M05267_0398_000000000-G53J9	63118	60285	0	834	0	111	0	0	1666	222
200203_M02559_0421_000000000-G4TTM	56955	55566	0	278	0	56	0	0	944	111
200204_M02559_0422_000000000-G4V4P	58105	55549	0	556	0	55	0	0	1779	166
200204_M05267_0399_000000000-D7T7L	80879	79436	0	278	0	55	0	0	944	166
200205_M05267_0400_000000000-CVBHD	20335	17224	0	278	0	56	0	0	2665	112
200205_M02559_0423_000000000-G4TTK	57774	55552	0	555	0	55	0	0	1446	166
200206_M02559_0424_000000000-G4V56	58315	55816	0	277	0	55	223	56	1722	166
200207_M02559_0425_000000000-G52ND	57773	55829	0	555	0	57	0	0	1221	111
200207_M05267_0401_000000000-G52YH	62880	60269	0	555	0	57	0	0	1832	167
200210_M02559_0426_000000000-G52PL	58662	56106	0	277	0	56	0	0	2057	166
200211_M02559_0427_000000000-G52FP	58641	56085	0	555	0	56	0	0	1834	111
200212_M02559_0428_000000000-G53G4	58928	56090	0	556	0	56	0	0	1948	278
200213_M02559_0429_000000000-G5328	634	634	0	0	0	0	0	0	0	0
200213_M05267_0403_000000000-CVB9P	78	78	0	0	0	0	0	0	0	0
200214_M02559_0430_000000000-G53GC	56497	54054	0	722	0	333	0	0	1222	166
200214_M05267_0404_000000000-G53N6	59329	56331	0	721	0	167	0	0	1999	111
200215_M02559_0431_000000000-D85Y2	58047	47270	0	0	0	278	0	0	10055	444
200217_M05267_0405_000000000-CVCC9	23213	17493	0	944	0	1110	0	0	2499	1167
200217_M02559_0432_000000000-G53H7	58274	55718	0	389	0	222	0	0	1611	334
200218_M02559_0433_000000000-D7TF3	49869	48480	0	500	0	278	0	0	555	56
200219_M02559_0434_000000000-G53G9	58974	56088	0	721	0	167	0	0	1610	388
200220_M05267_0407_000000000-CVCCV	19879	17213	0	722	0	278	0	0	1277	389
200220_M02559_0435_000000000-G54JC	58653	56368	0	670	0	278	0	0	1170	167
200221_M02559_0436_000000000-G52FV	59191	56637	0	277	0	56	222	0	1777	222
200221_M05267_0408_000000000-G52JW	65189	60801	0	1000	0	222	0	0	2666	500
200224_M05267_0409_000000000-CVBB8	20990	16824	0	445	0	333	0	0	3165	223
200224_M02559_0437_000000000-G52FN	62865	57255	0	388	0	112	0	0	4999	111
200225_M02559_0438_000000000-G4YY8	77233	77233	0	0	0	0	0	0	0	0
200226_M02559_0439_000000000-G4YM9	59469	57247	0	277	0	278	0	0	1611	56
200227_M05267_0411_000000000-G52RN	64365	60867	0	500	0	278	0	0	1443	1277
200227_M02559_0440_000000000-G52TY	60868	58147	0	0	0	666	0	555	1055	445
200229_M02559_0441_000000000-G54JV	59975	57365	0	777	0	445	0	0	1055	333
200303_M05267_0412_000000000-CVBB3	19677	16777	0	279	0	391	0	0	1896	334
200303_M02559_0442_000000000-G5433	60413	57069	0	613	0	335	0	0	2174	222
200304_M02559_0443_000000000-G542T	60640	57807	0	555	0	111	0	0	1999	168
200305_M05267_0413_000000000-CVB9R	18931	16045	0	444	0	166	0	0	2165	111
200305_M02559_0444_000000000-G54JG	60087	57530	0	611	0	111	0	0	1724	111
200306_M02559_0445_000000000-G5332	61911	57968	0	722	0	55	0	0	2999	167
200306_M05267_0414_000000000-G56GG	61966	58801	0	555	0	111	0	0	2276	223
200309_M02559_0446_000000000-G54JY	28653	25487	0	1111	0	55	0	0	1778	222
200309_M05267_0415_000000000-D7TDC	31374	29374	0	556	0	56	0	0	1333	55
200310_M05267_0416_000000000-CWGW3	19263	16377	0	278	0	110	0	0	2165	333
200310_M02559_0447_000000000-G52KG	61183	57741	0	833	0	55	0	0	2331	223
200311_M05267_0417_000000000-CWLG4	19265	16378	0	277	278	56	221	56	1666	333
200311_M02559_0448_000000000-G4YPT	60033	57756	0	833	0	56	0	0	1278	110
200312_M05267_0418_000000000-CWGV8	18986	16378	0	833	0	55	0	0	1609	111
200312_M02559_0449_000000000-G557P	60574	57735	0	834	0	55	0	0	1727	223
Auto_user_YG3-1142-IONA_Test_20191115-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-894-IONA_Test_20191118-A	54456	51122	0	555	834	278	555	0	834	278
Auto_user_YGProton6-895-IONA_Test_20191118-B	51122	47788	0	556	1111	0	556	0	833	278
Auto_user_YG3-1143-IONA_Test_20191121-A1	58612	55278	0	556	833	277	557	0	833	278
Auto_user_YG3-1144-IONA_Test_20191121-B1	54723	51388	0	556	834	278	555	0	834	278
Auto_user_YGProton6-898-IONA_Test_20191125-A	54442	50830	0	555	834	0	555	0	1390	278
Auto_user_YGProton6-899-IONA_Test_20191125-B	51385	47220	0	556	1111	0	1666	0	555	277
Auto_user_YG3-1145-IONA_Test_20191128-A	57224	53613	0	556	1110	0	555	0	1111	279
Auto_user_YG3-1146-IONA_Test_20191128-B	53613	49726	0	556	833	0	1388	0	833	277
Auto_user_YG3-1147-IONA_Test_20191129-A	52779	50002	0	555	833	0	278	0	833	278
Auto_user_YGProton6-900-IONA_Test_20191202-A	64715	47500	0	278	833	14715	556	0	556	277
Auto_user_YGProton6-901-IONA_Test_20191202-B	77768	50832	0	278	832	25826	0	0	0	0
Auto_user_YG3-1149-IONA_Test_20191204-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-902-IONA_Test_20191205-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1151-IONA_Test_20191206-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1152-IONA_Test_20191206-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-904-IONA_Test_20191210-A	42876	38650	0	278	1112	167	1278	0	1057	334
Auto_user_YGProton6-905-IONA_Test_20191210-B	45656	42264	0	278	834	278	834	0	1057	111
Auto_user_YG3-1153-IONA_Test_20191211-A	59541	55038	0	556	1112	334	945	0	1223	333
Auto_user_YG3-1154-IONA_Test_20191211-B	54260	50868	0	278	834	111	667	0	1280	222
Auto_user_YG3-1155-IONA_Test_20191213-A	6173	0	0	276	1723	1279	1448	0	947	500
Auto_user_YG3-1156-IONA_Test_20191213-B	5618	0	0	555	1946	946	668	0	1281	222
Auto_user_YG3-1175-IONA_Test_20200114-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1176-IONA_Test_20200114-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-924-IONA_Test_20200116-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-925-IONA_Test_20200116-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1177-IONA_Test_20200117-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1178-IONA_Test_20200117-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1179-IONA_Test_20200120-A1	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1181-IONA_Test_20200122-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1182-IONA_Test_20200122-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-928-IONA_Test_20200123-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YGProton6-929-IONA_Test_20200123-B	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1183-IONA_Test_20200128-A	78998	61942	0	278	834	278	333	0	1110	14223
Auto_user_YG3-1185-IONA_Test_20200131-A	61007	57508	0	555	834	333	278	0	1167	332
Auto_user_YG3-1186-IONA_Test_20200131-B	63675	60841	0	278	1111	222	167	55	945	56
Auto_user_YGProton6-932-IONA_Test_20200204-A1	62780	60557	0	557	555	334	388	0	334	55
Auto_user_YGProton6-935-IONA_Test_20200205-B1	57322	53600	0	556	1111	334	277	0	1167	277
Auto_user_YGProton6-934-IONA_Test_20200205-A1	61043	57766	0	556	833	277	279	0	943	389
Auto_user_YG3-1192-IONA_Test_20200207-B	59824	56658	0	277	833	56	223	0	1610	167
Auto_user_YG3-1191-IONA_Test_20200207-A	63712	60269	0	555	834	332	278	0	1167	277
Auto_user_YG3-1194-IONA_Test_20200210-B	58928	56929	0	278	833	111	278	0	332	167
Auto_user_YG3-1193-IONA_Test_20200210-A	63149	60261	0	278	1111	55	278	0	833	333
Auto_user_YGProton6-936-IONA_Test_20200211-A	60088	57201	0	555	833	55	223	0	888	333
Auto_user_YGProton6-937-IONA_Test_20200211-B	62810	60532	0	278	833	56	332	0	445	334
Auto_user_YG3-1195-IONA_Test_20200212-A	17864	17864	0	0	0	0	0	0	0	0
Auto_user_YGProton6-938-IONA_Test_20200213-A	41057	38446	0	555	834	167	222	0	556	277
Auto_user_YG3-1197-IONA_Test_20200214-A	62388	57777	0	278	1111	333	333	0	2388	168
Auto_user_YG3-1198-IONA_Test_20200214-B	70220	61443	0	500	1111	167	221	0	6556	222
Auto_user_YGProton6-940-IONA_Test_20200217-A	62595	59763	0	277	834	666	333	0	500	222
Auto_user_YG3-1199-IONA_Test_20200218-A	59144	55977	0	278	833	334	277	0	833	612
Auto_user_YG3-1200-IONA_Test_20200218-B	61087	59033	0	277	555	223	222	0	555	222
Auto_user_YGProton6-943-IONA_Test_20200219-B	61256	58036	0	278	1111	443	278	0	833	277
Auto_user_YGProton6-942-IONA_Test_20200219-A	65144	61922	0	279	1111	332	279	0	1055	166
Auto_user_YG3-1201-IONA_Test_20200220-A	63912	61357	0	278	833	222	278	0	721	223
Auto_user_YGProton6-944-IONA_Test_20200221-A	60696	57476	0	278	1111	277	222	0	1055	277
Auto_user_YGProton6-945-IONA_Test_20200221-B	63585	61085	0	556	833	166	389	0	444	112
Auto_user_YGProton6-946-IONA_Test_20200224-A	91955	91955	0	0	0	0	0	0	0	0
Auto_user_YGProton6-947-IONA_Test_20200224-B	91955	91955	0	0	0	0	0	0	0	0
Auto_user_YG3-1204-IONA_Test_20200226-B	62814	58317	0	556	1110	277	223	0	1887	444
Auto_user_YG3-1203-IONA_Test_20200226-A	66369	62537	0	499	1111	444	277	0	1056	445
Auto_user_YGProton6-948-IONA_Test_20200228-A	62915	60250	0	277	556	500	333	0	777	222
Auto_user_YG3-1205-IONA_Test_20200302-A	73990	44957	0	167	2229	668	557	17283	7908	221
Auto_user_YG3-1206-IONA_Test_20200302-B	73712	44622	0	557	836	1338	279	17779	7911	390
Auto_user_YGProton6-950-IONA_Test_20200304-A	63423	60813	0	278	833	277	278	0	833	111
Auto_user_YGProton6-953-IONA_Test_20200306-B	18155	14601	0	555	1111	167	222	55	999	445
Auto_user_YGProton6-952-IONA_Test_20200306-A	0	0	0	0	0	0	0	0	0	0
Auto_user_YG3-1210-IONA_Test_20200309-BR	49370	47483	0	833	555	111	333	0	0	55
Auto_user_YG3-1209-IONA_Test_20200309-AR	56533	53868	0	555	833	167	278	0	444	388
Auto_user_YGProton6-956-IONA_Test_20200310-A	55145	51647	0	833	1110	167	222	0	888	278
Auto_user_YGProton6-957-IONA_Test_20200310-B	55812	53034	0	556	833	333	500	0	389	167
Auto_user_YGProton6-959-IONA_Test_20200311-B	57080	53027	0	1110	1110	278	277	0	1055	223
Auto_user_YGProton6-958-IONA_Test_20200311-A	61520	57468	0	833	1110	277	556	0	1109	167
